Transaction_ID,Date,Customer_ID,Product,Quantity,Payment_Method,Category,Country,Discount_Percentage,Shipping_Cost,Delivery_Days,Customer_Rating,Return_Status,Unit_Price,Total_Price_Before_Discount,Discount_Amount,Price_After_Discount,Final_Total
TXN_0002090,03-01-2023,CUST_00111,Charger,4,Credit Card,Accessories,India,0,20,20,5,Yes,123,492,0,492,512
TXN_0003742,03-01-2023,CUST_00052,Speaker,2,Apple Pay,Accessories,Australia,5,15,14,4,Yes,244,488,24.4,463.6,478.6
TXN_0003910,03-01-2023,CUST_00350,Mouse,8,Google Pay,Peripherals,France,0,15,16,5,Yes,23,184,0,184,199
TXN_0001551,03-01-2023,CUST_00274,Headphones,4,Credit Card,Accessories,Japan,0,10,3,5,No,229,916,0,916,926
TXN_0001493,03-01-2023,CUST_00066,Speaker,9,Bank Transfer,Accessories,France,0,25,17,4,No,151,1359,0,1359,1384
TXN_0000884,03-01-2023,CUST_00195,Keyboard,5,Credit Card,Peripherals,Japan,0,15,15,4,No,129,645,0,645,660
TXN_0004674,03-01-2023,CUST_00575,Monitor,3,Google Pay,Peripherals,Australia,0,15,15,2,Yes,358,1074,0,1074,1089
TXN_0000956,04-01-2023,CUST_00810,Webcam,8,Credit Card,Peripherals,USA,0,5,27,5,No,48,384,0,384,389
TXN_0004081,04-01-2023,CUST_00249,Charger,2,Google Pay,Accessories,Australia,0,25,27,5,Yes,47,94,0,94,119
TXN_0001301,04-01-2023,CUST_00211,Microphone,2,Google Pay,Peripherals,India,0,10,28,4,No,199,398,0,398,408
TXN_0000421,05-01-2023,CUST_00899,Tablet,4,Google Pay,Electronics,USA,5,15,14,4,No,562,2248,112.4,2135.6,2150.6
TXN_0001025,05-01-2023,CUST_00818,Webcam,7,Google Pay,Peripherals,USA,5,20,7,5,No,162,1134,56.7,1077.3,1097.3
TXN_0000133,05-01-2023,CUST_00072,USB Cable,1,Bank Transfer,Accessories,France,0,0,26,5,No,-28,-28,0,-28,-28
TXN_0000834,05-01-2023,CUST_00999,Speaker,1,PayPal,Accessories,Japan,0,15,15,5,No,269,269,0,269,284
TXN_0000722,05-01-2023,CUST_00651,Tablet,5,Bank Transfer,Electronics,UK,0,25,16,4,No,488,2440,0,2440,2465
TXN_0003886,05-01-2023,CUST_00166,Mouse,6,Apple Pay,Peripherals,India,0,25,3,5,No,128,768,0,768,793
TXN_0000952,06-01-2023,CUST_00989,Screen Protector,3,Apple Pay,Accessories,Canada,10,15,11,5,No,41,123,12.3,110.7,125.7
TXN_0004518,06-01-2023,CUST_00264,Microphone,8,Apple Pay,Peripherals,Germany,0,10,28,5,No,144,1152,0,1152,1162
TXN_0001688,07-01-2023,CUST_00427,Tablet,5,Apple Pay,Electronics,Japan,10,5,5,5,No,461,2305,230.5,2074.5,2079.5
TXN_0002347,07-01-2023,CUST_00700,Webcam,8,Debit Card,Peripherals,USA,20,10,15,5,No,118,944,188.8,755.2,765.2
TXN_0003359,07-01-2023,CUST_00636,Tablet,6,Apple Pay,Electronics,USA,15,10,3,2,Yes,453,2718,407.7,2310.3,2320.3
TXN_0004612,07-01-2023,CUST_00070,Webcam,9,Credit Card,Peripherals,Germany,5,10,27,4,No,126,1134,56.7,1077.3,1087.3
TXN_0004363,07-01-2023,CUST_00893,Screen Protector,9,Debit Card,Accessories,India,10,15,19,4,No,95,855,85.5,769.5,784.5
TXN_0001619,07-01-2023,CUST_00778,Laptop,7,Apple Pay,Electronics,USA,0,25,11,5,No,1052,7364,0,7364,7389
TXN_0001252,07-01-2023,CUST_00112,Tablet,5,Credit Card,Electronics,Canada,0,10,24,1,Yes,477,2385,0,2385,2395
TXN_0001835,07-01-2023,CUST_00919,Laptop,9,Bank Transfer,Electronics,Japan,0,10,10,3,No,997,8973,0,8973,8983
TXN_0000883,07-01-2023,CUST_00797,Speaker,9,Credit Card,Accessories,Japan,5,20,17,3,No,208,1872,93.6,1778.4,1798.4
TXN_0002942,08-01-2023,CUST_00637,Router,7,Apple Pay,Networking,UK,0,20,17,5,Yes,211,1477,0,1477,1497
TXN_0002012,08-01-2023,CUST_00074,Webcam,3,Bank Transfer,Peripherals,USA,0,10,4,4,No,31,93,0,93,103
TXN_0000863,08-01-2023,CUST_00837,Mouse,8,Apple Pay,Peripherals,Canada,5,10,24,5,Yes,92,736,36.8,699.2,709.2
TXN_0004930,08-01-2023,CUST_00701,Charger,5,Apple Pay,Accessories,Canada,0,15,23,5,No,32,160,0,160,175
TXN_0000694,08-01-2023,CUST_00350,Webcam,1,Google Pay,Peripherals,Japan,10,10,7,4,No,129,129,12.9,116.1,126.1
TXN_0003163,08-01-2023,CUST_00355,Monitor,5,Bank Transfer,Peripherals,USA,0,15,27,1,No,368,1840,0,1840,1855
TXN_0003958,08-01-2023,CUST_00064,Microphone,8,Apple Pay,Peripherals,UK,0,5,3,4,Yes,144,1152,0,1152,1157
TXN_0001228,08-01-2023,CUST_00566,Tablet,9,Google Pay,Electronics,UK,0,0,24,5,No,496,4464,0,4464,4464
TXN_0002514,08-01-2023,CUST_00002,Laptop,7,Apple Pay,Electronics,Japan,5,10,8,2,No,1083,7581,379.05,7201.95,7211.95
TXN_0000276,09-01-2023,CUST_00481,USB Cable,3,Credit Card,Accessories,Canada,0,10,10,5,No,40,120,0,120,130
TXN_0001819,09-01-2023,CUST_00064,Smartphone,5,Credit Card,Electronics,Japan,0,0,4,3,No,850,4250,0,4250,4250
TXN_0000599,09-01-2023,CUST_00462,Screen Protector,4,Bank Transfer,Accessories,USA,20,20,5,4,No,-31,-124,-24.8,-99.2,-79.2
TXN_0002666,10-01-2023,CUST_00836,USB Cable,7,Apple Pay,Accessories,Germany,0,10,10,4,No,74,518,0,518,528
TXN_0002170,10-01-2023,CUST_00230,Smartphone,5,Bank Transfer,Electronics,Canada,0,20,16,5,Yes,836,4180,0,4180,4200
TXN_0004143,10-01-2023,CUST_00599,Smartphone,4,Google Pay,Electronics,USA,5,5,3,5,Yes,764,3056,152.8,2903.2,2908.2
TXN_0001943,10-01-2023,CUST_00070,Router,3,Credit Card,Networking,Australia,0,15,19,4,No,201,603,0,603,618
TXN_0002499,10-01-2023,CUST_00391,Smartphone,9,Bank Transfer,Electronics,Canada,10,0,19,5,Yes,818,7362,736.2,6625.8,6625.8
TXN_0000719,10-01-2023,CUST_00447,Smartphone,5,Debit Card,Electronics,Japan,10,20,1,5,No,798,3990,399,3591,3611
TXN_0003631,10-01-2023,CUST_00766,USB Cable,2,Apple Pay,Accessories,Australia,0,20,11,4,No,-23,-46,0,-46,-26
TXN_0003993,10-01-2023,CUST_00703,Screen Protector,6,Google Pay,Accessories,UK,0,15,10,5,No,9,54,0,54,69
TXN_0000990,10-01-2023,CUST_00245,Laptop,3,PayPal,Electronics,Germany,5,20,19,5,No,1061,3183,159.15,3023.85,3043.85
TXN_0001779,11-01-2023,CUST_00540,Screen Protector,6,Apple Pay,Accessories,Australia,0,15,9,4,No,-10,-60,0,-60,-45
TXN_0001347,11-01-2023,CUST_00939,Webcam,7,Google Pay,Peripherals,Australia,10,20,11,1,No,152,1064,106.4,957.6,977.6
TXN_0001100,11-01-2023,CUST_00078,Router,3,Credit Card,Networking,Germany,15,15,26,1,No,177,531,79.65,451.35,466.35
TXN_0004570,11-01-2023,CUST_00534,Keyboard,5,Debit Card,Peripherals,Australia,0,5,29,5,No,215,1075,0,1075,1080
TXN_0001516,11-01-2023,CUST_00598,Tablet,4,PayPal,Electronics,Germany,5,0,3,4,Yes,523,2092,104.6,1987.4,1987.4
TXN_0002099,12-01-2023,CUST_00554,Headphones,5,Apple Pay,Accessories,Canada,0,20,19,4,No,208,1040,0,1040,1060
TXN_0002681,12-01-2023,CUST_00152,Laptop,2,PayPal,Electronics,Australia,0,5,2,4,No,1060,2120,0,2120,2125
TXN_0000688,12-01-2023,CUST_00610,Smartphone,3,Credit Card,Electronics,India,0,10,22,5,No,788,2364,0,2364,2374
TXN_0002378,12-01-2023,CUST_00826,Keyboard,3,Google Pay,Peripherals,India,10,25,25,5,No,208,624,62.4,561.6,586.6
TXN_0003806,12-01-2023,CUST_00551,Smartphone,8,Bank Transfer,Electronics,UK,0,10,19,2,No,871,6968,0,6968,6978
TXN_0001401,12-01-2023,CUST_00685,Smartphone,6,Bank Transfer,Electronics,Japan,15,5,7,4,No,870,5220,783,4437,4442
TXN_0002282,12-01-2023,CUST_00625,Webcam,6,Credit Card,Peripherals,Canada,5,10,21,5,No,96,576,28.8,547.2,557.2
TXN_0001987,12-01-2023,CUST_00621,Keyboard,2,Google Pay,Peripherals,USA,15,15,23,2,No,166,332,49.8,282.2,297.2
TXN_0004243,12-01-2023,CUST_00895,Router,1,Credit Card,Networking,UK,5,20,16,2,No,180,180,9,171,191
TXN_0001847,12-01-2023,CUST_00050,Microphone,4,Credit Card,Peripherals,India,15,15,16,5,Yes,119,476,71.4,404.6,419.6
TXN_0002334,12-01-2023,CUST_00260,Keyboard,1,Debit Card,Peripherals,USA,0,5,16,3,No,107,107,0,107,112
TXN_0003651,12-01-2023,CUST_00158,Microphone,6,Bank Transfer,Peripherals,Australia,5,10,16,5,Yes,150,900,45,855,865
TXN_0000513,12-01-2023,CUST_00457,Laptop,8,Credit Card,Electronics,Germany,0,15,4,5,No,994,7952,0,7952,7967
TXN_0004924,13-01-2023,CUST_00743,Charger,7,Bank Transfer,Accessories,Canada,0,0,17,5,No,61,427,0,427,427
TXN_0000994,13-01-2023,CUST_00129,USB Cable,5,Debit Card,Accessories,Japan,15,5,19,4,No,93,465,69.75,395.25,400.25
TXN_0002455,13-01-2023,CUST_00207,USB Cable,2,Apple Pay,Accessories,USA,0,0,15,3,No,87,174,0,174,174
TXN_0004996,13-01-2023,CUST_00237,Monitor,9,PayPal,Peripherals,UK,0,5,29,1,Yes,358,3222,0,3222,3227
TXN_0003701,13-01-2023,CUST_00252,Screen Protector,4,Credit Card,Accessories,Japan,5,10,23,4,No,56,224,11.2,212.8,222.8
TXN_0003725,13-01-2023,CUST_00074,Keyboard,5,Apple Pay,Peripherals,France,0,25,2,5,No,180,900,0,900,925
TXN_0002673,13-01-2023,CUST_00168,USB Cable,2,PayPal,Accessories,Japan,10,15,26,2,No,43,86,8.6,77.4,92.4
TXN_0003519,13-01-2023,CUST_00973,Speaker,5,Debit Card,Accessories,Germany,0,5,24,4,No,261,1305,0,1305,1310
TXN_0003600,13-01-2023,CUST_00076,Headphones,9,Google Pay,Accessories,India,0,25,16,5,No,226,2034,0,2034,2059
TXN_0001846,14-01-2023,CUST_00135,Speaker,7,PayPal,Accessories,France,5,0,15,5,No,252,1764,88.2,1675.8,1675.8
TXN_0003638,14-01-2023,CUST_00955,Smartphone,8,Debit Card,Electronics,Germany,10,20,20,5,Yes,898,7184,718.4,6465.6,6485.6
TXN_0000054,14-01-2023,CUST_00913,Hard Drive,3,Debit Card,Storage,Australia,0,5,9,1,No,120,360,0,360,365
TXN_0002683,14-01-2023,CUST_00877,Charger,5,PayPal,Accessories,Australia,5,10,2,5,No,78,390,19.5,370.5,380.5
TXN_0001924,14-01-2023,CUST_00499,Keyboard,6,Apple Pay,Peripherals,France,5,25,11,4,No,213,1278,63.9,1214.1,1239.1
TXN_0004877,14-01-2023,CUST_00325,Screen Protector,2,Apple Pay,Accessories,France,0,5,4,5,No,2,4,0,4,9
TXN_0001084,15-01-2023,CUST_00505,Router,1,Debit Card,Networking,Canada,20,5,26,5,No,160,160,32,128,133
TXN_0000098,15-01-2023,CUST_00229,Microphone,8,Credit Card,Peripherals,UK,5,20,20,4,No,112,896,44.8,851.2,871.2
TXN_0000890,15-01-2023,CUST_00787,Mouse,6,Credit Card,Peripherals,Australia,0,5,23,2,No,22,132,0,132,137
TXN_0000139,15-01-2023,CUST_00611,Laptop,4,Bank Transfer,Electronics,UK,10,20,9,5,No,976,3904,390.4,3513.6,3533.6
TXN_0001060,15-01-2023,CUST_00246,Webcam,3,Debit Card,Peripherals,India,20,0,10,5,No,167,501,100.2,400.8,400.8
TXN_0003894,15-01-2023,CUST_00650,Webcam,8,Apple Pay,Peripherals,UK,0,15,26,5,No,87,696,0,696,711
TXN_0000491,16-01-2023,CUST_00449,Smartphone,8,Bank Transfer,Electronics,India,0,15,24,5,No,855,6840,0,6840,6855
TXN_0001463,16-01-2023,CUST_00811,Screen Protector,7,Bank Transfer,Accessories,India,0,15,22,5,No,77,539,0,539,554
TXN_0002978,16-01-2023,CUST_00020,USB Cable,8,Bank Transfer,Accessories,Japan,10,5,23,5,No,99,792,79.2,712.8,717.8
TXN_0003139,16-01-2023,CUST_00254,Monitor,1,Credit Card,Peripherals,Australia,0,15,18,4,No,377,377,0,377,392
TXN_0001423,16-01-2023,CUST_00722,Speaker,3,Credit Card,Accessories,UK,10,5,4,4,No,269,807,80.7,726.3,731.3
TXN_0002489,17-01-2023,CUST_00988,Headphones,8,Apple Pay,Accessories,UK,10,15,5,5,No,116,928,92.8,835.2,850.2
TXN_0001670,17-01-2023,CUST_00369,Screen Protector,2,Credit Card,Accessories,UK,0,5,7,1,No,45,90,0,90,95
TXN_0001397,17-01-2023,CUST_00750,Headphones,5,Google Pay,Accessories,Japan,10,20,14,5,No,233,1165,116.5,1048.5,1068.5
TXN_0004014,17-01-2023,CUST_00502,Keyboard,2,Credit Card,Peripherals,Japan,20,10,22,5,No,213,426,85.2,340.8,350.8
TXN_0000341,17-01-2023,CUST_00252,Hard Drive,2,Google Pay,Storage,France,5,10,2,4,No,125,250,12.5,237.5,247.5
TXN_0003775,17-01-2023,CUST_00141,Keyboard,6,Credit Card,Peripherals,USA,5,0,2,4,No,82,492,24.6,467.4,467.4
TXN_0001377,17-01-2023,CUST_00498,Monitor,8,Bank Transfer,Peripherals,India,0,20,12,5,No,476,3808,0,3808,3828
TXN_0001315,17-01-2023,CUST_00806,Laptop,2,Apple Pay,Electronics,USA,0,10,5,5,No,1052,2104,0,2104,2114
TXN_0002525,17-01-2023,CUST_00340,Laptop,7,Bank Transfer,Electronics,USA,10,15,22,5,Yes,1066,7462,746.2,6715.8,6730.8
TXN_0001644,17-01-2023,CUST_00016,Keyboard,4,Bank Transfer,Peripherals,France,15,15,10,5,No,199,796,119.4,676.6,691.6
TXN_0004606,17-01-2023,CUST_00842,Hard Drive,3,Apple Pay,Storage,UK,0,15,10,5,No,217,651,0,651,666
TXN_0004290,17-01-2023,CUST_00066,Tablet,6,Google Pay,Electronics,Canada,10,15,14,5,No,466,2796,279.6,2516.4,2531.4
TXN_0000366,18-01-2023,CUST_00184,Smartphone,3,Credit Card,Electronics,France,0,5,19,4,No,855,2565,0,2565,2570
TXN_0004553,18-01-2023,CUST_00609,Screen Protector,1,Bank Transfer,Accessories,Germany,5,15,9,3,No,93,93,4.65,88.35,103.35
TXN_0001205,18-01-2023,CUST_00645,Speaker,7,Bank Transfer,Accessories,UK,0,15,14,4,No,205,1435,0,1435,1450
TXN_0001204,19-01-2023,CUST_00291,Screen Protector,8,Credit Card,Accessories,India,5,20,1,3,No,-11,-88,-4.4,-83.6,-63.6
TXN_0002642,19-01-2023,CUST_00074,USB Cable,5,Google Pay,Accessories,UK,10,10,7,5,No,57,285,28.5,256.5,266.5
TXN_0004260,19-01-2023,CUST_00310,Webcam,4,Debit Card,Peripherals,France,10,5,21,2,No,97,388,38.8,349.2,354.2
TXN_0002063,19-01-2023,CUST_00956,Monitor,4,PayPal,Peripherals,India,0,0,10,5,Yes,468,1872,0,1872,1872
TXN_0003544,19-01-2023,CUST_00019,Microphone,6,Debit Card,Peripherals,India,20,10,16,5,No,138,828,165.6,662.4,672.4
TXN_0003254,19-01-2023,CUST_00863,Monitor,3,Bank Transfer,Peripherals,India,0,20,16,4,Yes,394,1182,0,1182,1202
TXN_0004854,19-01-2023,CUST_00551,Charger,4,PayPal,Accessories,Germany,10,5,9,2,No,83,332,33.2,298.8,303.8
TXN_0003941,19-01-2023,CUST_00565,USB Cable,4,Apple Pay,Accessories,Germany,0,0,29,2,No,33,132,0,132,132
TXN_0000560,19-01-2023,CUST_00163,USB Cable,9,PayPal,Accessories,Germany,0,10,28,2,No,55,495,0,495,505
TXN_0002738,19-01-2023,CUST_00643,Headphones,4,Apple Pay,Accessories,USA,10,5,7,5,No,213,852,85.2,766.8,771.8
TXN_0004588,19-01-2023,CUST_00666,Webcam,5,PayPal,Peripherals,France,10,10,21,5,Yes,45,225,22.5,202.5,212.5
TXN_0002708,20-01-2023,CUST_00079,Router,6,Google Pay,Networking,France,10,10,26,5,No,111,666,66.6,599.4,609.4
TXN_0001976,20-01-2023,CUST_00247,Microphone,4,Bank Transfer,Peripherals,Japan,0,25,25,5,Yes,150,600,0,600,625
TXN_0001543,20-01-2023,CUST_00117,Microphone,8,PayPal,Peripherals,Australia,15,5,24,5,No,70,560,84,476,481
TXN_0002698,20-01-2023,CUST_00132,Headphones,7,Debit Card,Accessories,UK,5,15,16,5,No,137,959,47.95,911.05,926.05
TXN_0003481,20-01-2023,CUST_00517,USB Cable,2,PayPal,Accessories,Japan,5,5,15,5,No,91,182,9.1,172.9,177.9
TXN_0004322,20-01-2023,CUST_00954,Keyboard,7,Debit Card,Peripherals,UK,15,5,6,5,No,176,1232,184.8,1047.2,1052.2
TXN_0000391,20-01-2023,CUST_00195,Charger,8,Apple Pay,Accessories,France,0,5,29,5,Yes,120,960,0,960,965
TXN_0002688,20-01-2023,CUST_00724,Hard Drive,7,PayPal,Storage,Germany,0,5,5,4,No,136,952,0,952,957
TXN_0002110,21-01-2023,CUST_00518,Hard Drive,8,Google Pay,Storage,France,5,0,26,5,No,181,1448,72.4,1375.6,1375.6
TXN_0002848,21-01-2023,CUST_00356,Microphone,5,Debit Card,Peripherals,USA,0,15,15,5,No,175,875,0,875,890
TXN_0000007,21-01-2023,CUST_00895,Charger,6,Bank Transfer,Accessories,UK,0,5,25,4,No,32,192,0,192,197
TXN_0002483,21-01-2023,CUST_00891,USB Cable,4,Bank Transfer,Accessories,UK,5,10,3,5,Yes,88,352,17.6,334.4,344.4
TXN_0001908,21-01-2023,CUST_00429,Monitor,6,Credit Card,Peripherals,Japan,20,5,18,5,No,375,2250,450,1800,1805
TXN_0001717,21-01-2023,CUST_00323,Screen Protector,6,Apple Pay,Accessories,UK,0,15,17,4,Yes,65,390,0,390,405
TXN_0004485,21-01-2023,CUST_00126,Laptop,8,Apple Pay,Electronics,Canada,10,5,29,5,No,1050,8400,840,7560,7565
TXN_0000048,21-01-2023,CUST_00089,Mouse,1,Apple Pay,Peripherals,USA,0,10,26,5,No,130,130,0,130,140
TXN_0001710,22-01-2023,CUST_00468,Microphone,6,Bank Transfer,Peripherals,Canada,0,5,13,1,No,89,534,0,534,539
TXN_0000030,22-01-2023,CUST_00828,Screen Protector,2,Credit Card,Accessories,Canada,0,15,4,1,Yes,82,164,0,164,179
TXN_0004229,22-01-2023,CUST_00215,Screen Protector,3,Apple Pay,Accessories,Canada,15,15,25,4,No,45,135,20.25,114.75,129.75
TXN_0003643,22-01-2023,CUST_00200,Laptop,2,Apple Pay,Electronics,Germany,0,10,5,5,No,1024,2048,0,2048,2058
TXN_0001674,22-01-2023,CUST_00345,Headphones,8,Bank Transfer,Accessories,India,5,5,27,4,No,106,848,42.4,805.6,810.6
TXN_0002886,22-01-2023,CUST_00966,Speaker,4,Credit Card,Accessories,Japan,0,20,10,3,No,223,892,0,892,912
TXN_0001841,22-01-2023,CUST_00883,Laptop,7,Debit Card,Electronics,UK,0,5,25,4,No,1063,7441,0,7441,7446
TXN_0004129,22-01-2023,CUST_00554,Keyboard,8,Bank Transfer,Peripherals,India,0,0,11,5,No,203,1624,0,1624,1624
TXN_0003526,22-01-2023,CUST_00275,Webcam,7,Credit Card,Peripherals,USA,5,5,7,5,No,131,917,45.85,871.15,876.15
TXN_0000320,22-01-2023,CUST_00371,Webcam,5,Apple Pay,Peripherals,UK,0,25,17,5,No,95,475,0,475,500
TXN_0004314,22-01-2023,CUST_00176,Headphones,8,Google Pay,Accessories,Canada,0,15,15,5,No,167,1336,0,1336,1351
TXN_0003347,23-01-2023,CUST_00464,Smartphone,1,Credit Card,Electronics,USA,0,15,13,5,Yes,754,754,0,754,769
TXN_0000481,23-01-2023,CUST_00056,Mouse,6,Credit Card,Peripherals,India,10,10,21,5,No,103,618,61.8,556.2,566.2
TXN_0003698,23-01-2023,CUST_00318,Speaker,9,Debit Card,Accessories,Germany,0,15,1,5,No,164,1476,0,1476,1491
TXN_0000746,23-01-2023,CUST_00763,Screen Protector,6,Credit Card,Accessories,UK,0,25,2,5,No,-30,-180,0,-180,-155
TXN_0003627,23-01-2023,CUST_00428,Smartphone,5,Debit Card,Electronics,Australia,0,10,21,4,No,758,3790,0,3790,3800
TXN_0002643,23-01-2023,CUST_00537,Laptop,8,Credit Card,Electronics,India,0,20,23,5,No,1042,8336,0,8336,8356
TXN_0001042,23-01-2023,CUST_00030,Mouse,5,Apple Pay,Peripherals,Germany,5,15,2,3,No,129,645,32.25,612.75,627.75
TXN_0001105,23-01-2023,CUST_00613,Tablet,9,Apple Pay,Electronics,Japan,10,15,22,5,No,587,5283,528.3,4754.7,4769.7
TXN_0001880,24-01-2023,CUST_00331,Charger,7,Bank Transfer,Accessories,UK,10,0,8,5,No,61,427,42.7,384.3,384.3
TXN_0001165,25-01-2023,CUST_00317,Mouse,5,Debit Card,Peripherals,India,5,10,5,3,No,137,685,34.25,650.75,660.75
TXN_0004628,25-01-2023,CUST_00946,Hard Drive,7,Debit Card,Storage,USA,10,5,7,5,Yes,149,1043,104.3,938.7,943.7
TXN_0000906,25-01-2023,CUST_00224,Tablet,6,Debit Card,Electronics,France,0,15,7,4,Yes,573,3438,0,3438,3453
TXN_0000578,25-01-2023,CUST_00982,Charger,4,Apple Pay,Accessories,Germany,20,10,29,5,No,91,364,72.8,291.2,301.2
TXN_0003860,25-01-2023,CUST_00326,Tablet,8,Apple Pay,Electronics,UK,15,20,29,4,Yes,511,4088,613.2,3474.8,3494.8
TXN_0002369,25-01-2023,CUST_00977,Microphone,7,Debit Card,Peripherals,Germany,0,10,21,5,No,55,385,0,385,395
TXN_0001383,25-01-2023,CUST_00921,Microphone,8,PayPal,Peripherals,India,0,0,18,4,No,83,664,0,664,664
TXN_0004358,25-01-2023,CUST_00658,Hard Drive,8,Google Pay,Storage,Germany,10,10,13,5,No,75,600,60,540,550
TXN_0003555,25-01-2023,CUST_00548,Screen Protector,2,PayPal,Accessories,UK,0,25,11,4,No,37,74,0,74,99
TXN_0002923,26-01-2023,CUST_00516,Charger,2,Debit Card,Accessories,France,0,10,19,3,Yes,117,234,0,234,244
TXN_0000966,26-01-2023,CUST_00384,USB Cable,7,PayPal,Accessories,Japan,15,5,20,5,No,15,105,15.75,89.25,94.25
TXN_0000861,26-01-2023,CUST_00981,Webcam,5,Debit Card,Peripherals,France,0,5,11,3,No,42,210,0,210,215
TXN_0003175,26-01-2023,CUST_00957,Screen Protector,8,Bank Transfer,Accessories,India,0,25,19,4,No,84,672,0,672,697
TXN_0003859,26-01-2023,CUST_00395,Monitor,4,PayPal,Peripherals,Germany,5,15,8,5,No,352,1408,70.4,1337.6,1352.6
TXN_0002168,26-01-2023,CUST_00731,Laptop,7,Apple Pay,Electronics,Germany,0,5,27,1,No,987,6909,0,6909,6914
TXN_0001742,27-01-2023,CUST_00495,Speaker,5,Bank Transfer,Accessories,Australia,0,15,9,5,No,178,890,0,890,905
TXN_0004810,27-01-2023,CUST_00323,Mouse,7,PayPal,Peripherals,Australia,5,10,22,5,No,21,147,7.35,139.65,149.65
TXN_0001323,27-01-2023,CUST_00742,Smartphone,2,Credit Card,Electronics,Canada,5,0,1,4,No,815,1630,81.5,1548.5,1548.5
TXN_0003610,27-01-2023,CUST_00827,Speaker,8,Apple Pay,Accessories,France,5,20,5,4,No,169,1352,67.6,1284.4,1304.4
TXN_0000328,27-01-2023,CUST_00058,Hard Drive,2,Google Pay,Storage,USA,10,20,4,4,No,205,410,41,369,389
TXN_0003743,28-01-2023,CUST_00646,Microphone,4,Credit Card,Peripherals,UK,5,20,16,5,No,166,664,33.2,630.8,650.8
TXN_0001930,28-01-2023,CUST_00930,Laptop,3,Google Pay,Electronics,Canada,0,20,24,1,No,1056,3168,0,3168,3188
TXN_0000164,28-01-2023,CUST_00388,Router,6,Debit Card,Networking,USA,15,15,3,5,No,243,1458,218.7,1239.3,1254.3
TXN_0000874,28-01-2023,CUST_00663,Smartphone,1,PayPal,Electronics,UK,0,20,11,4,No,795,795,0,795,815
TXN_0002872,28-01-2023,CUST_00069,Monitor,3,Google Pay,Peripherals,Australia,10,5,24,5,No,469,1407,140.7,1266.3,1271.3
TXN_0000894,28-01-2023,CUST_00064,Charger,8,Apple Pay,Accessories,Canada,0,10,15,4,No,117,936,0,936,946
TXN_0000117,28-01-2023,CUST_00120,Headphones,1,Debit Card,Accessories,Germany,10,15,22,4,Yes,150,150,15,135,150
TXN_0001126,29-01-2023,CUST_00685,Router,1,PayPal,Networking,Australia,5,20,9,4,No,233,233,11.65,221.35,241.35
TXN_0002497,29-01-2023,CUST_00699,Charger,3,Apple Pay,Accessories,Australia,0,5,16,2,Yes,73,219,0,219,224
